source,target,source_type,target_type,edge_type,regulatory_type,weight,mi_value,mi,pearson_r,pearson_p,pearson_p_fdr,miRDB_score,comparison
hsa-let-7f,hsa-miR-200a,miRNA,miRNA,miRNA-miRNA,,0.9017206112568291,,,0.9017206112568291,1.8869365564270092e-12,4.712495442982639e-11,,
hsa-let-7f,hsa-miR-484,miRNA,miRNA,miRNA-miRNA,,0.898278820410135,,,0.898278820410135,3.0883577271252724e-12,6.871595942853731e-11,,
hsa-let-7f,hsa-miR-374a,miRNA,miRNA,miRNA-miRNA,,0.895970222446807,,,0.895970222446807,4.256260401357038e-12,9.164689735180074e-11,,
hsa-let-7f,hsa-miR-20a+hsa-miR-20b,miRNA,miRNA,miRNA-miRNA,,0.890690397825492,,,0.890690397825492,8.624705113457037e-12,1.6612841581540585e-10,,
hsa-let-7f,hsa-miR-148a,miRNA,miRNA,miRNA-miRNA,,0.8905140837327268,,,0.8905140837327268,8.825012566289503e-12,1.6911088673679167e-10,,
hsa-let-7f,hsa-miR-24,miRNA,miRNA,miRNA-miRNA,,0.8860446159361616,,,0.8860446159361616,1.559420988976543e-11,2.669009000363699e-10,,
hsa-let-7f,hsa-miR-93,miRNA,miRNA,miRNA-miRNA,,0.8848724526782188,,,0.8848724526782188,1.8034758323871387e-11,3.009550295296038e-10,,
hsa-let-7f,hsa-miR-199a-5p,miRNA,miRNA,miRNA-miRNA,,0.8845279730500292,,,0.8845279730500292,1.8816498453694294e-11,3.090853886193174e-10,,
hsa-let-7f,hsa-miR-99a,miRNA,miRNA,miRNA-miRNA,,0.8777424627390423,,,0.8777424627390423,4.227747864407968e-11,6.00430148828153e-10,,
hsa-let-7f,hsa-let-7g,miRNA,miRNA,miRNA-miRNA,,0.8747972346245333,,,0.8747972346245333,5.919747937542737e-11,7.80329061028261e-10,,
hsa-let-7f,hsa-miR-455-5p,miRNA,miRNA,miRNA-miRNA,,0.8742256831664543,,,0.8742256831664543,6.313195379958306e-11,8.235943810010755e-10,,
hsa-let-7f,hsa-miR-186,miRNA,miRNA,miRNA-miRNA,,0.8726768779758826,,,0.8726768779758826,7.504176622493924e-11,9.510831447179798e-10,,
hsa-let-7f,hsa-miR-29b,miRNA,miRNA,miRNA-miRNA,,0.8695450912565443,,,0.8695450912565443,1.0571461252138214e-10,1.2868906478666732e-09,,
hsa-let-7f,hsa-let-7i,miRNA,miRNA,miRNA-miRNA,,0.8685994000568875,,,0.8685994000568875,1.1703829330012853e-10,1.3950546567470677e-09,,
hsa-let-7f,hsa-miR-509-3p,miRNA,miRNA,miRNA-miRNA,,0.8642094022109812,,,0.8642094022109812,1.8583016053227644e-10,2.027928591094733e-09,,
hsa-let-7f,hsa-miR-429,miRNA,miRNA,miRNA-miRNA,,0.8553939697886102,,,0.8553939697886102,4.488309561286341e-10,4.352464840908425e-09,,
hsa-let-7f,hsa-miR-1979,miRNA,miRNA,miRNA-miRNA,,0.8406698576313923,,,0.8406698576313923,1.7328943776525457e-09,1.2804874506454698e-08,,
hsa-let-7f,hsa-miR-532-5p,miRNA,miRNA,miRNA-miRNA,,0.8380429002989958,,,0.8380429002989958,2.1739240259028733e-09,1.5519724997755807e-08,,
hsa-let-7f,hsa-miR-101,miRNA,miRNA,miRNA-miRNA,,0.8358236615276382,,,0.8358236615276382,2.6247472547440587e-09,1.8218566300259885e-08,,
hsa-let-7f,hsa-miR-96,miRNA,miRNA,miRNA-miRNA,,0.8173488189083175,,,0.8173488189083175,1.1395938330973662e-08,6.410215311172685e-08,,
hsa-let-7f,hsa-miR-19b,miRNA,miRNA,miRNA-miRNA,,0.8168332478008681,,,0.8168332478008681,1.1844430752017696e-08,6.62527167064677e-08,,
hsa-let-7f,hsa-miR-151-3p,miRNA,miRNA,miRNA-miRNA,,0.8119224140676023,,,0.8119224140676023,1.7006959683423827e-08,8.892020043356714e-08,,
hsa-let-7f,hsa-miR-146a,miRNA,miRNA,miRNA-miRNA,,0.8059323403748127,,,0.8059323403748127,2.6075152418998806e-08,1.272271789525178e-07,,
