sample_id,true_label,pred_label,network,branch_prob_normal,branch_prob_primary,branch_prob_metastatic
Mets_47,metastatic,metastatic,normal,0.14482936263084412,0.34615665674209595,0.5090140104293823
Mets_47,metastatic,metastatic,primary,0.15516874194145203,0.3446391224861145,0.5001921057701111
Mets_47,metastatic,metastatic,metastatic,0.1477613002061844,0.3652292788028717,0.4870094358921051
Mets_5,metastatic,metastatic,normal,0.32368895411491394,0.3849337100982666,0.29137730598449707
Mets_5,metastatic,metastatic,primary,0.3343610465526581,0.37902820110321045,0.28661075234413147
Mets_5,metastatic,metastatic,metastatic,0.3314377963542938,0.37697556614875793,0.29158663749694824
Mets_52,metastatic,metastatic,normal,0.11442822962999344,0.33386266231536865,0.5517091155052185
Mets_52,metastatic,metastatic,primary,0.11470361799001694,0.33528342843055725,0.5500129461288452
Mets_52,metastatic,metastatic,metastatic,0.11272669583559036,0.3487379550933838,0.5385352969169617
Normal_1,normal,primary,normal,0.3259466290473938,0.3624134957790375,0.3116399347782135
Normal_1,normal,primary,primary,0.3588142991065979,0.3424351215362549,0.2987506091594696
Normal_1,normal,primary,metastatic,0.34855037927627563,0.3536249101161957,0.2978246808052063
Normal_13,normal,normal,normal,0.2605380713939667,0.41218024492263794,0.3272817134857178
Normal_13,normal,normal,primary,0.2710321843624115,0.3892567753791809,0.33971109986305237
Normal_13,normal,normal,metastatic,0.27882370352745056,0.3975070118904114,0.32366931438446045
Normal_19,normal,normal,normal,0.4791322946548462,0.33408358693122864,0.1867840439081192
Normal_19,normal,normal,primary,0.5103498101234436,0.31454676389694214,0.17510342597961426
Normal_19,normal,normal,metastatic,0.5044791102409363,0.3250432014465332,0.17047767341136932
Normal_25,normal,normal,normal,0.3431389331817627,0.3518432676792145,0.30501776933670044
Normal_25,normal,normal,primary,0.36333993077278137,0.3671658933162689,0.26949429512023926
Normal_25,normal,normal,metastatic,0.3749651312828064,0.3746408224105835,0.2503940761089325
Normal_26,normal,normal,normal,0.28510382771492004,0.37844786047935486,0.3364483118057251
Normal_26,normal,normal,primary,0.31993043422698975,0.36587440967559814,0.3141951560974121
Normal_26,normal,normal,metastatic,0.30460986495018005,0.37652283906936646,0.3188672661781311
Normal_34,normal,normal,normal,0.7465211153030396,0.19182275235652924,0.06165607273578644
Normal_34,normal,normal,primary,0.7514503002166748,0.18826261162757874,0.06028711050748825
Normal_34,normal,normal,metastatic,0.7548540830612183,0.18603196740150452,0.05911396071314812
Normal_37,normal,normal,normal,0.6610611081123352,0.2466747909784317,0.09226413071155548
Normal_37,normal,normal,primary,0.6725339889526367,0.23840095102787018,0.0890650525689125
Normal_37,normal,normal,metastatic,0.6605377197265625,0.2454833984375,0.09397884458303452
Normal_40,normal,normal,normal,0.6627227067947388,0.24362635612487793,0.09365098178386688
Normal_40,normal,normal,primary,0.6806424260139465,0.2347182035446167,0.08463936299085617
Normal_40,normal,normal,metastatic,0.6605802774429321,0.24880892038345337,0.09061085432767868
Tumor_1,primary,primary,normal,0.35290634632110596,0.3847445249557495,0.26234912872314453
Tumor_1,primary,primary,primary,0.3851662278175354,0.36340436339378357,0.25142937898635864
Tumor_1,primary,primary,metastatic,0.38095149397850037,0.36879026889801025,0.25025826692581177
