number,value,params_dropout,params_hidden_size,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,user_attrs_fold_scores,user_attrs_mean_best_epoch,user_attrs_std_val_macro_f1,state
19,0.9491966179886324,0.2498444422116346,16,0.0008609315806381482,2,1,0.0002520673449167853,"[0.9352311638426646, 0.9495863940176031, 0.9627722961056294]",24.0,0.011246997691120383,COMPLETE
2,0.9491515500896832,0.07441802850159597,32,0.0015304852121831463,2,3,0.0011290133559092666,"[0.9499516908212561, 0.934730663342164, 0.9627722961056294]",15.0,0.011461921331173216,COMPLETE
48,0.9488722867700047,0.10688871974950559,64,0.0005699838564542598,2,1,0.0012778795495976567,"[0.918840579710145, 0.9650039844942394, 0.9627722961056294]",14.666666666666666,0.02125515905943591,COMPLETE
13,0.9486131060767439,0.21549524908560302,64,0.0010142590527983002,8,1,0.00018201101335969106,"[0.9334806281069992, 0.9495863940176031, 0.9627722961056294]",14.0,0.011978061072849296,COMPLETE
44,0.9486131060767439,0.079280259226623,64,0.0018117105807886552,4,1,0.001892457112393696,"[0.9334806281069992, 0.9495863940176031, 0.9627722961056294]",7.333333333333333,0.011978061072849296,COMPLETE
45,0.9486131060767439,0.22320666876123482,32,0.0013001765314771126,2,1,1.1868600552975278e-05,"[0.9334806281069992, 0.9495863940176031, 0.9627722961056294]",8.666666666666666,0.011978061072849296,COMPLETE
43,0.9486131060767439,0.06115772340048985,64,0.00038890687494483463,4,1,0.00023898149861157464,"[0.9334806281069992, 0.9495863940176031, 0.9627722961056294]",19.333333333333332,0.011978061072849296,COMPLETE
42,0.9486131060767439,0.10467275533762783,64,0.002505640854155059,4,1,0.00011969773291762883,"[0.9334806281069992, 0.9495863940176031, 0.9627722961056294]",6.666666666666667,0.011978061072849296,COMPLETE
38,0.9486131060767439,0.10651382014799035,128,0.0006033591325816805,4,1,0.00010018549197838857,"[0.9334806281069992, 0.9495863940176031, 0.9627722961056294]",22.333333333333332,0.011978061072849296,COMPLETE
30,0.9482057711488611,0.134048425484964,32,0.00023551948385547308,2,1,0.00015039629624554368,"[0.9334806281069992, 0.9483643892339545, 0.9627722961056294]",37.333333333333336,0.011958799363040422,COMPLETE
18,0.9481135573684049,0.1571103172027835,64,0.0006552132176688933,2,3,0.00022340479996928482,"[0.931981981981982, 0.9495863940176031, 0.9627722961056294]",24.0,0.012613162352733923,COMPLETE
31,0.9477607544747672,0.05826966323290102,16,0.0010136611167332723,4,1,0.00126637150463973,"[0.9334806281069992, 0.9470293392116726, 0.9627722961056294]",14.666666666666666,0.011969452222242268,COMPLETE
36,0.9437330899444593,0.1810263145269268,32,0.0001415622180418974,8,1,0.00042295016824731013,"[0.918840579710145, 0.9495863940176031, 0.9627722961056294]",62.666666666666664,0.018406426464559086,COMPLETE
25,0.9436611958515976,0.269671313345847,32,0.00019354397415510176,2,1,0.0006728913725850471,"[0.9334806281069992, 0.934730663342164, 0.9627722961056294]",59.0,0.013523221058905344,COMPLETE
34,0.9436611958515976,0.12309463897895209,16,0.0001245920385822627,1,1,0.00035182653331306116,"[0.9334806281069992, 0.934730663342164, 0.9627722961056294]",79.0,0.013523221058905344,COMPLETE
6,0.9436611958515976,0.19031929939237408,128,0.0004187594718900631,8,2,0.002055424552015075,"[0.9334806281069992, 0.934730663342164, 0.9627722961056294]",23.666666666666668,0.013523221058905344,COMPLETE
39,0.9436611958515976,0.2297365750277467,16,0.00028139297957842255,8,1,2.7136757233654435e-05,"[0.9334806281069992, 0.934730663342164, 0.9627722961056294]",31.666666666666668,0.013523221058905344,COMPLETE
14,0.9430864646502441,0.13185117880079927,16,0.00037898607769939476,4,1,1.1004829030776862e-05,"[0.9334806281069992, 0.9330064697381039, 0.9627722961056294]",22.666666666666668,0.01392133079383518,COMPLETE
23,0.9426253105008476,0.18161596061757165,64,0.0002000200367803245,4,1,0.001010133391117703,"[0.9155172413793103, 0.9495863940176031, 0.9627722961056294]",41.0,0.019909839478547395,COMPLETE
10,0.9385555653178871,0.21256292930801432,16,0.0021366725289602142,4,1,2.3914412319480552e-05,"[0.9334806281069992, 0.9650039844942394, 0.9171820833524228]",10.333333333333334,0.019850269485580656,COMPLETE
37,0.9385227203068283,0.171791816274096,64,0.0002507867817032329,2,1,6.467432794169975e-05,"[0.9155172413793103, 0.9650039844942394, 0.9350469350469351]",35.666666666666664,0.020351826263841986,COMPLETE
11,0.9383486013027408,0.245757505514362,16,0.00012971890170946395,4,1,6.32991119372214e-05,"[0.918840579710145, 0.9495863940176031, 0.946618830180474]",73.33333333333333,0.013847353263945298,COMPLETE
