source,target,source_type,target_type,edge_type,regulatory_type,weight,pearson_r,pearson_p,pearson_p_fdr,fdr_significant,miRDB_validated
hsa-miR-127-3p,FLT3,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.40804798874471254,-0.40804798874471254,0.020429096206839276,0.9988699114074102,False,False
hsa-miR-127-3p,PLAT,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3556046955402992,-0.3556046955402992,0.045782083248496024,0.9988699114074102,False,False
hsa-miR-127-3p,JUN,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3361181656482183,-0.3361181656482183,0.05999067839356447,0.9988699114074102,False,False
hsa-miR-127-3p,COL1A1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.31608639831253765,-0.31608639831253765,0.07799892893550905,0.9988699114074102,False,False
hsa-miR-127-3p,TGFBI,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3103624535026631,-0.3103624535026631,0.08384365850976187,0.9988699114074102,False,False
hsa-miR-127-3p,MMP14,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3087684440455079,-0.3087684440455079,0.08552971366663509,0.9988699114074102,False,False
hsa-miR-127-3p,CCNE1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3019194138884,-0.3019194138884,0.09307163889497691,0.9988699114074102,False,False
hsa-miR-127-3p,TIMP2,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.27118121307902887,-0.27118121307902887,0.13327963466237083,0.9988699114074102,False,False
hsa-miR-128,FLT3,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3049710850689295,-0.3049710850689295,0.08965104741911384,0.9988699114074102,False,False
hsa-miR-130b,hsa-miR-425,miRNA,miRNA,miRNA-miRNA,coexpression,0.9283036621517778,0.9283036621517778,1.995282498535131e-14,1.2888881301021289e-12,False,False
hsa-miR-135b,PLAT,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.29324246706751006,-0.29324246706751006,0.10334100095638195,0.9988699114074102,False,False
hsa-miR-141,hsa-miR-200b,miRNA,miRNA,miRNA-miRNA,coexpression,0.9063141083810228,0.9063141083810228,9.497439112093187e-13,2.796856150289207e-11,False,False
hsa-miR-141,PTHLH,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.33837098338553073,-0.33837098338553073,0.05818968142980553,0.9988699114074102,False,False
hsa-miR-141,PLAT,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.29911720417291154,-0.29911720417291154,0.09629931015046961,0.9988699114074102,False,False
hsa-miR-141,DLC1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.29080154182841755,-0.29080154182841755,0.10637836462349033,0.9988699114074102,False,False
hsa-miR-142-3p,FGFR1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.30483708033844514,-0.30483708033844514,0.08979920673699388,0.9988699114074102,False,False
hsa-miR-142-3p,PLAT,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.2789277919496644,-0.2789277919496644,0.12211854057185209,0.9988699114074102,False,False
hsa-miR-146a,PTHLH,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.32126451336002765,-0.32126451336002765,0.07298739530558224,0.9988699114074102,False,False
hsa-miR-146a,WFDC2,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.30636954951983053,-0.30636954951983053,0.08811598801936854,0.9988699114074102,False,False
hsa-miR-148a,hsa-miR-497,miRNA,miRNA,miRNA-miRNA,coexpression,0.9547553408320131,0.9547553408320131,2.3903264325523006e-17,6.382171574914643e-15,False,False
hsa-miR-148a,hsa-miR-195,miRNA,miRNA,miRNA-miRNA,coexpression,0.9542515884633802,0.9542515884633802,2.812693218221145e-17,7.040522711859804e-15,False,False
hsa-miR-148a,hsa-miR-186,miRNA,miRNA,miRNA-miRNA,coexpression,0.9300832989509853,0.9300832989509853,1.3851608620931657e-14,9.802152699841681e-13,False,False
hsa-miR-148a,hsa-miR-374b,miRNA,miRNA,miRNA-miRNA,coexpression,0.9142957784704948,0.9142957784704948,2.6376458046454036e-13,1.067047620970186e-11,False,False
