source,target,source_type,target_type,edge_type,regulatory_type,weight,pearson_r,pearson_p,pearson_p_fdr,fdr_significant,miRDB_validated
IGF1,PDGFRB,mRNA,mRNA,mRNA-mRNA,coexpression,0.616551273329658,0.616551273329658,1.0710741604262926e-05,0.00015149117996274573,False,False
IGF1,PDGFRA,mRNA,mRNA,mRNA-mRNA,coexpression,0.6054322332172535,0.6054322332172535,1.69796370969542e-05,0.00021973648007823083,False,False
IGF1,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.5729026620226023,0.5729026620226023,5.946725395134038e-05,0.0006272573361990698,False,False
IGF1,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.5685274769336873,0.5685274769336873,6.968742247428091e-05,0.0007154575374026174,False,False
IGFBP6,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.74149699514028,0.74149699514028,1.286252251373322e-08,8.61229768310833e-07,False,False
IGFBP6,MMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.7289994508109521,0.7289994508109521,2.9672090329637124e-08,1.6319649681300418e-06,False,False
IGFBP6,PDGFRB,mRNA,mRNA,mRNA-mRNA,coexpression,0.646207086426411,0.646207086426411,2.862073140865795e-06,5.310352574618463e-05,False,False
IGFBP6,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.6140719587072875,0.6140719587072875,1.1887781611792365e-05,0.000163456997162145,False,False
IGFBP6,PDGFRA,mRNA,mRNA,mRNA-mRNA,coexpression,0.6036399005449584,0.6036399005449584,1.825923764295284e-05,0.00023239029727394525,False,False
JUN,PDGFRB,mRNA,mRNA,mRNA-mRNA,coexpression,0.7342105929565828,0.7342105929565828,2.1058507186935617e-08,1.247311579533879e-06,False,False
JUN,MMP14,mRNA,mRNA,mRNA-mRNA,coexpression,0.6597756025794029,0.6597756025794029,1.4908524077920493e-06,3.0209377736838893e-05,False,False
JUN,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.6516947362621969,0.6516947362621969,2.207067259074288e-06,4.357543049967184e-05,False,False
JUN,PLAT,mRNA,mRNA,mRNA-mRNA,coexpression,0.6478451551432973,0.6478451551432973,2.6498760989254823e-06,4.976596576030784e-05,False,False
JUN,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.6061812599980996,0.6061812599980996,1.646966979991112e-05,0.00021494314823612817,False,False
L1CAM,TGFBI,mRNA,mRNA,mRNA-mRNA,coexpression,0.5773000538679144,0.5773000538679144,5.058932426857786e-05,0.0005525358820823397,False,False
LCK,TNFRSF1B,mRNA,mRNA,mRNA-mRNA,coexpression,0.7167124781660924,0.7167124781660924,6.462654175172196e-08,2.927202185225053e-06,False,False
MMP2,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.7952808897280246,0.7952808897280246,1.8842962785259839e-10,3.080089697399552e-08,False,False
MMP2,PDGFRB,mRNA,mRNA,mRNA-mRNA,coexpression,0.7882690778870292,0.7882690778870292,3.4971757551306856e-10,4.7187539811559076e-08,False,False
MMP2,PDGFRA,mRNA,mRNA,mRNA-mRNA,coexpression,0.77054763552528,0.77054763552528,1.5129920876649373e-09,1.456254884377502e-07,False,False
MMP2,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.6968907948357903,0.6968907948357903,2.0906903535325766e-07,6.757429419668444e-06,False,False
MMP2,MMP14,mRNA,mRNA,mRNA-mRNA,coexpression,0.6247457898289839,0.6247457898289839,7.539990719637144e-06,0.00011728874452768891,False,False
MMP2,PLAT,mRNA,mRNA,mRNA-mRNA,coexpression,0.601534164174006,0.601534164174006,1.987518860824066e-05,0.00024884382485114323,False,False
MMP9,TNFRSF1B,mRNA,mRNA,mRNA-mRNA,coexpression,0.7114412547558095,0.7114412547558095,8.91479978028143e-08,3.612839910956158e-06,False,False
MMP14,PLAUR,mRNA,mRNA,mRNA-mRNA,coexpression,0.82136711917711,0.82136711917711,1.503047483069306e-11,3.306704462752474e-09,False,False
MMP14,PTK7,mRNA,mRNA,mRNA-mRNA,coexpression,0.7876889103892004,0.7876889103892004,3.6769511541474607e-10,4.7187539811559076e-08,False,False
MMP14,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.7854280270278802,0.7854280270278802,4.4636267206104163e-10,5.287680884415416e-08,False,False
MMP14,PDGFRB,mRNA,mRNA,mRNA-mRNA,coexpression,0.7181413456537797,0.7181413456537797,5.9156806499405903e-08,2.7606509699722757e-06,False,False
MMP14,TGFBI,mRNA,mRNA,mRNA-mRNA,coexpression,0.7098336074237279,0.7098336074237279,9.81994149408505e-08,3.780677475222744e-06,False,False
MMP14,SPP1,mRNA,mRNA,mRNA-mRNA,coexpression,0.6698765011041917,0.6698765011041917,8.977215980511556e-07,2.0036105231866372e-05,False,False
MMP14,PLAT,mRNA,mRNA,mRNA-mRNA,coexpression,0.6611142075367061,0.6611142075367061,1.395457418189451e-06,2.9438416767284307e-05,False,False
MMP14,PDGFRA,mRNA,mRNA,mRNA-mRNA,coexpression,0.6383925837198478,0.6383925837198478,4.107625421293002e-06,7.107576571675532e-05,False,False
MYCL1,TGFA,mRNA,mRNA,mRNA-mRNA,coexpression,0.6241600371768108,0.6241600371768108,7.734147291535164e-06,0.00011910586828964153,False,False
NOTCH1,PTK7,mRNA,mRNA,mRNA-mRNA,coexpression,0.6212151620727583,0.6212151620727583,8.781823574348902e-06,0.00013237232896948106,False,False
PDGFRA,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.7449319353326104,0.7449319353326104,1.0137309934182641e-08,7.096116953927849e-07,False,False
PDGFRA,PDGFRB,mRNA,mRNA,mRNA-mRNA,coexpression,0.7294853411245522,0.7294853411245522,2.8747925523490872e-08,1.6319649681300418e-06,False,False
PDGFRA,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.6349058640847797,0.6349058640847797,4.810606505371573e-06,8.14102639370574e-05,False,False
PDGFRA,TGFBI,mRNA,mRNA,mRNA-mRNA,coexpression,0.5742044690264004,0.5742044690264004,5.6701531247215535e-05,0.0006063913758382772,False,False
PDGFRB,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.8282533131580364,0.8282533131580364,7.1975144719810095e-12,2.216834457370151e-09,False,False
PDGFRB,PLAT,mRNA,mRNA,mRNA-mRNA,coexpression,0.7581704227137884,0.7581704227137884,3.905159285197657e-09,3.1652343680023115e-07,False,False
PDGFRB,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.7407347094343676,0.7407347094343676,1.3553617892301581e-08,8.696904814226848e-07,False,False
PDGFRB,TGFBI,mRNA,mRNA,mRNA-mRNA,coexpression,0.6268777819511965,0.6268777819511965,6.870542062369577e-06,0.00010796566098009336,False,False
PLAT,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.7106048663967299,0.7106048663967299,9.37553386586538e-08,3.70213388549556e-06,False,False
PLAT,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.6868642198066782,0.6868642198066782,3.65603962032151e-07,1.0236910936900228e-05,False,False
PLAT,TGFBI,mRNA,mRNA,mRNA-mRNA,coexpression,0.6860767927934813,0.6860767927934813,3.816524951245565e-07,1.0358796333821934e-05,False,False
PLAT,PLAUR,mRNA,mRNA,mRNA-mRNA,coexpression,0.6787949321144551,0.6787949321144551,5.643053744341762e-07,1.3794131375057641e-05,False,False
PLAUR,TGFBI,mRNA,mRNA,mRNA-mRNA,coexpression,0.7116760710674942,0.7116760710674942,8.789290330282482e-08,3.612839910956158e-06,False,False
PLAUR,SPP1,mRNA,mRNA,mRNA-mRNA,coexpression,0.6882088809705524,0.6882088809705524,3.3963845313077764e-07,9.685985515211067e-06,False,False
PLAUR,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.6324376538841038,0.6324376538841038,5.373496903969527e-06,8.994766556644644e-05,False,False
PLAUR,PTK7,mRNA,mRNA,mRNA-mRNA,coexpression,0.6295935858690375,0.6295935858690375,6.096992293016999e-06,9.883545401311767e-05,False,False
PLAUR,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.6042942805018876,0.6042942805018876,1.778215351737608e-05,0.00022820430347299304,False,False
PTK7,SPP1,mRNA,mRNA,mRNA-mRNA,coexpression,0.7483384026179409,0.7483384026179409,7.975446509919128e-09,5.848660773940695e-07,False,False
S100A4,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.6392831007333201,0.6392831007333201,3.94394570787083e-06,6.901904988773953e-05,False,False
S100A4,TGFBI,mRNA,mRNA,mRNA-mRNA,coexpression,0.6290045108090252,0.6290045108090252,6.257627976633074e-06,0.00010038278212515556,False,False
TGFBI,TIMP2,mRNA,mRNA,mRNA-mRNA,coexpression,0.7153195949367334,0.7153195949367334,7.040884627733128e-08,3.097989236202576e-06,False,False
TGFBI,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.6960073481420869,0.6960073481420869,2.1982036839466873e-07,6.908640149546732e-06,False,False
TIMP2,TIMP3,mRNA,mRNA,mRNA-mRNA,coexpression,0.6853960186306951,0.6853960186306951,3.96051741299007e-07,1.0515856579318462e-05,False,False
